rom_address	caller	target	A	B	R0	R1	R2	R3	R4	R5	R6	R7	DPTR	R2_R1_CODE_POINTER	post_call
0x0EC1	jump_0EA2	0xFE33	A=0x00	B=?	R0=?	R1=?	R2=?	R3=?	R4=0x00	R5=0x00	R6=?	R7=0x00	?	?	mov R7, #01h; clr A; mov R5, A; mov R4, A
0x0EC9	jump_0EA2	0xFE33	A=0x00	B=?	R0=?	R1=?	R2=?	R3=?	R4=0x00	R5=0x00	R6=?	R7=0x01	?	?	mov R7, #02h; clr A; mov R5, A; mov R4, A
0x0ED1	jump_0EA2	0xFE33	A=0x00	B=?	R0=?	R1=?	R2=?	R3=?	R4=0x00	R5=0x00	R6=?	R7=0x02	?	?	mov R7, #03h; clr A; mov R5, A; mov R4, A
0x0ED9	jump_0EA2	0xFE33	A=0x00	B=?	R0=?	R1=?	R2=?	R3=?	R4=0x00	R5=0x00	R6=?	R7=0x03	?	?	mov R7, #04h; clr A; mov R5, A; mov R4, A
0x0EE1	jump_0EA2	0xFE33	A=0x00	B=?	R0=?	R1=?	R2=?	R3=?	R4=0x00	R5=0x00	R6=?	R7=0x04	?	?	mov R7, #05h; clr A; mov R5, A; mov R4, A
0x0EE9	jump_0EA2	0xFE33	A=0x00	B=?	R0=?	R1=?	R2=?	R3=?	R4=0x00	R5=0x00	R6=?	R7=0x05	?	?	mov R7, #06h; clr A; mov R5, A; mov R4, A
0x0EF1	jump_0EA2	0xFE33	A=0x00	B=?	R0=?	R1=?	R2=?	R3=?	R4=0x00	R5=0x00	R6=?	R7=0x06	?	?	mov R7, #07h; clr A; mov R5, A; mov R4, A
0x0EF9	jump_0EA2	0xFE33	A=0x00	B=?	R0=?	R1=?	R2=?	R3=?	R4=0x00	R5=0x00	R6=?	R7=0x07	?	?	lcall jump_FE27; clr P4.4; mov R7, #02h; lcall jump_FE3F
0x0EFC	jump_0EA2	0xFE27	A=?	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=?	?	?	clr P4.4; mov R7, #02h; lcall jump_FE3F; lcall jump_FE42
0x0F03	jump_0EA2	0xFE3F	A=?	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=0x02	?	?	lcall jump_FE42; lcall jump_FE4B; mov DPTR, #dptr_0084; mov A, #27h
0x0F06	jump_0EA2	0xFE42	A=?	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=?	?	?	lcall jump_FE4B; mov DPTR, #dptr_0084; mov A, #27h; movx @DPTR, A
0x0F09	jump_0EA2	0xFE4B	A=?	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=?	?	?	mov DPTR, #dptr_0084; mov A, #27h; movx @DPTR, A; inc DPTR
0x0F16	jump_0F16	0xFE6F	A=?	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=?	?	?	mov A, R7; jnz jump_0F1F; ljmp jump_0FE7; clr A
0x0F21	jump_0F1F	0xFE51	A=0x00	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=0x00	?	?	mov DPTR, #dptr_0084; mov A, #27h; movx @DPTR, A; inc DPTR
0x0F30	jump_0F1F	0xFE6C	A=0x10	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=?	0x0085	?	setb IEN1.4; mov A, R7; jb ACC.7, jump_0F3C; ljmp jump_0FE7
0x0F99	jump_0F84	0xFE48	A=?	B=?	R0=?	R1=0x64	R2=0x00	R3=0x02	R4=?	R5=?	R6=?	R7=?	?	0x0064	sjmp jump_0FE7; mov DPTR, #dptr_0057; movx A, @DPTR; mov R7, A
0x0FE2	jump_0FCD	0xFE45	A=?	B=?	R0=?	R1=0x5C	R2=0x00	R3=0x02	R4=?	R5=?	R6=?	R7=?	?	0x005C	mov DPTR, #dptr_0179; movx A, @DPTR; jnz jump_0FF0; ljmp jump_0F16
0x100E	jump_0FFA	0xFE51	A=?	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=0x01	0x0066	?	mov R3, #02h; mov R2, #00h; mov R1, #70h; lcall jump_FE5A
0x101C	jump_1016	0xFE5A	A=?	B=?	R0=?	R1=0x70	R2=0x00	R3=0x02	R4=?	R5=?	R6=?	R7=?	?	0x0070	mov A, R7; anl A, #02h; mov DPTR, #dptr_006F; movx @DPTR, A
0x102A	jump_1016	0xFE2A	A=?	B=?	R0=?	R1=0x72	R2=0x00	R3=0x02	R4=?	R5=?	R6=?	R7=?	0x006F	0x0072	mov A, R6; mov R5, A; jnz jump_103C; mov DPTR, #dptr_006F
0x10C4	jump_10B8	0xFE57	A=?	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=?	0x006D	?	sjmp jump_10DB; mov DPTR, #fwd_005B_jump_3434; movx A, @DPTR; mov R7, A
0x10D8	jump_10CB	0xFE33	A=?	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=?	0x006D	?	mov DPTR, #fwd_005B_jump_3434; movx A, @DPTR; inc A; movx @DPTR, A
0x11A5	jump_119C	0xFE57	A=?	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=?	0x006D	?	sjmp jump_11BB; mov DPTR, #fwd_005B_jump_3434; movx A, @DPTR; mov R7, A
0x11B8	jump_11AB	0xFE33	A=?	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=?	0x006D	?	mov DPTR, #fwd_005B_jump_3434; movx A, @DPTR; inc A; movx @DPTR, A
0x11CC	jump_11CC	0xFE27	A=?	B=?	R0=?	R1=?	R2=?	R3=?	R4=?	R5=?	R6=?	R7=?	?	?	ljmp jump_0F16; clr A; mov R6, A; mov A, R6
