base	bounded_length	classification	call_sites	resolution
unknown	unknown	unknown	0x1166; 0x116A; 0x2F9B; 0x2F9F; 0x2FAD; 0x2FB9; 0x2FD8; 0x2FE5; 0x2FF3; 0x2FF9; 0x2FFD	unresolved
0x11EC	32	lookup table	0x0F49 jump_0F3C; 0x1058 jump_1048	bounded
