rom_address	function	instruction
0x0C65	jump_0C44	movx @DPTR, A
0x0C77	jump_0C6C	movx @DPTR, A
0x0C88	jump_0C83	movx @DPTR, A
0x0E55	jump_0E3D	movx @DPTR, A
0x0E8B	jump_0E73	movx @DPTR, A
0x0F5E	jump_0F3C	movx A, @DPTR
0x0F93	jump_0F84	movx @DPTR, A
0x0FAB	jump_0FA0	movx A, @DPTR
0x0FDC	jump_0FCD	movx @DPTR, A
0x106C	jump_1048	movx A, @DPTR
0x106F	jump_1048	movx A, @DPTR
0x129A	jump_1284	movx @DPTR, A
0x12BD	jump_12A8	movx A, @DPTR
0x12EB	jump_12E7	movx @DPTR, A
0x12EF	jump_12E7	movx A, @DPTR
0x12FD	jump_12E7	movx A, @DPTR
0x130C	jump_12E7	movx A, @DPTR
0x1316	jump_12E7	movx @DPTR, A
0x1323	jump_12E7	movx @DPTR, A
0x1391	jump_138D	movx @DPTR, A
0x1395	jump_138D	movx A, @DPTR
0x13A3	jump_138D	movx A, @DPTR
0x13B2	jump_138D	movx A, @DPTR
0x13BC	jump_138D	movx @DPTR, A
0x13C9	jump_138D	movx @DPTR, A
0x142C	jump_1420	movx @DPTR, A
0x142F	jump_1420	movx @DPTR, A
0x1432	jump_1420	movx @DPTR, A
0x1438	jump_1420	movx @DPTR, A
0x143B	jump_1420	movx @DPTR, A
0x143E	jump_1420	movx @DPTR, A
0x14A9	jump_1480	movx @DPTR, A
0x14F3	jump_14CA	movx @DPTR, A
0x1517	jump_1504	movx A, @DPTR
0x1541	jump_152B	movx A, @DPTR
0x15C2	jump_159C	movx A, @DPTR
0x160B	jump_15E0	movx A, @DPTR
0x1634	jump_1629	movx A, @DPTR
0x1636	jump_1629	movx @DPTR, A
0x163D	jump_1629	movx A, @DPTR
0x1644	jump_1629	movx @DPTR, A
0x164F	jump_164A	movx @DPTR, A
0x1656	jump_1650	movx A, @DPTR
0x1666	jump_1662	movx @DPTR, A
0x166D	jump_1669	movx @DPTR, A
0x1677	jump_166E	movx @DPTR, A
0x167A	jump_166E	movx @DPTR, A
0x1684	jump_167F	movx @DPTR, A
0x1688	jump_167F	movx @DPTR, A
0x168E	jump_167F	movx @DPTR, A
0x1691	jump_167F	movx @DPTR, A
0x16A0	jump_167F	movx @DPTR, A
0x16A4	jump_167F	movx @DPTR, A
0x16A7	jump_167F	movx @DPTR, A
0x16A9	jump_167F	movx A, @DPTR
0x16D3	jump_16D0	movx A, @DPTR
0x16D6	jump_16D0	movx A, @DPTR
0x16D9	jump_16D0	movx A, @DPTR
0x16DC	jump_16D0	movx A, @DPTR
0x16F1	jump_16EE	movx A, @DPTR
0x16F4	jump_16EE	movx A, @DPTR
0x16F7	jump_16EE	movx A, @DPTR
0x1709	jump_1706	movx A, @DPTR
0x170C	jump_1706	movx A, @DPTR
0x170F	jump_1706	movx A, @DPTR
0x1718	jump_1715	movx A, @DPTR
0x171B	jump_1715	movx A, @DPTR
0x171E	jump_1715	movx A, @DPTR
0x1721	jump_1715	movx A, @DPTR
0x1736	jump_1733	movx A, @DPTR
0x1739	jump_1733	movx A, @DPTR
0x173C	jump_1733	movx A, @DPTR
0x174E	jump_174B	movx A, @DPTR
0x1751	jump_174B	movx A, @DPTR
0x1754	jump_174B	movx A, @DPTR
0x175D	jump_175A	movx A, @DPTR
0x1766	jump_175A	movx A, @DPTR
0x1769	jump_175A	movx @DPTR, A
0x1776	jump_176F	movx A, @DPTR
0x1779	jump_176F	movx @DPTR, A
0x1789	jump_1786	movx A, @DPTR
0x1792	jump_1786	movx A, @DPTR
0x1795	jump_1786	movx @DPTR, A
0x17A2	jump_179B	movx A, @DPTR
0x17A5	jump_179B	movx @DPTR, A
0x17B5	jump_17B2	movx A, @DPTR
0x17BE	jump_17B2	movx A, @DPTR
0x17C1	jump_17B2	movx @DPTR, A
0x17CE	jump_17C7	movx A, @DPTR
0x17D1	jump_17C7	movx @DPTR, A
0x17E1	jump_17DE	movx A, @DPTR
0x17EA	jump_17DE	movx A, @DPTR
0x17ED	jump_17DE	movx @DPTR, A
0x17FA	jump_17F3	movx A, @DPTR
0x17FD	jump_17F3	movx @DPTR, A
0x1814	jump_180D	movx A, @DPTR
0x1816	jump_180D	movx @DPTR, A
0x1819	jump_180D	movx A, @DPTR
0x181B	jump_180D	movx @DPTR, A
0x182D	jump_1821	movx A, @DPTR
0x1830	jump_1821	movx @DPTR, A
0x1836	jump_1821	movx A, @DPTR
0x1838	jump_1821	movx @DPTR, A
0x1841	jump_183E	movx A, @DPTR
0x1843	jump_183E	movx @DPTR, A
0x1848	jump_1845	movx A, @DPTR
0x1853	jump_1845	movx @DPTR, A
0x186D	jump_185B	movx @DPTR, A
0x1888	jump_187A	movx A, @DPTR
0x188C	jump_187A	movx @DPTR, A
0x1890	jump_187A	movx A, @DPTR
0x1898	jump_187A	movx A, @DPTR
0x189A	jump_187A	movx @DPTR, A
0x18A2	jump_189F	movx A, @DPTR
0x18A4	jump_189F	movx @DPTR, A
0x18AF	jump_18A8	movx A, @DPTR
0x18B1	jump_18A8	movx @DPTR, A
0x18B8	jump_18B5	movx A, @DPTR
0x18BA	jump_18B5	movx @DPTR, A
0x18BF	jump_18BC	movx A, @DPTR
0x18CA	jump_18BC	movx @DPTR, A
0x18E3	jump_18D7	movx A, @DPTR
0x18E6	jump_18D7	movx @DPTR, A
0x18EB	jump_18D7	movx @DPTR, A
0x18F7	jump_18D7	movx @DPTR, A
0x190D	jump_18FB	movx @DPTR, A
0x1910	jump_18FB	movx @DPTR, A
0x1913	jump_18FB	movx @DPTR, A
0x191E	jump_1918	movx A, @DPTR
0x1923	jump_1918	movx A, @DPTR
0x192B	jump_1918	movx A, @DPTR
0x192E	jump_1918	movx @DPTR, A
0x1935	jump_1918	movx A, @DPTR
