start	end	byte_count	linear_lcall_candidates	pointer_word_candidates	status
0x30E3	0x30E4	2	0	1	linear candidates only
0x30EA	0x30ED	4	0	3	linear candidates only
0x311D	0x3120	4	0	2	linear candidates only
0x312A	0x312C	3	0	2	linear candidates only
0x313D	0x313F	3	1	2	linear candidates only
0x3166	0x316A	5	0	4	linear candidates only
0x31B7	0x31B9	3	0	2	linear candidates only
0x31FB	0x3203	9	1	7	linear candidates only
0x3214	0x3215	2	0	0	linear candidates only
0x321B	0x321B	1	0	0	linear candidates only
0x323B	0x323B	1	0	0	linear candidates only
0x3245	0x3245	1	0	0	linear candidates only
0x3252	0x3252	1	0	0	linear candidates only
0x3267	0x326B	5	1	2	linear candidates only
0x327B	0x327D	3	0	2	linear candidates only
0x3289	0x3289	1	0	0	linear candidates only
0x32C9	0x3331	105	0	51	linear candidates only
0x33D7	0x33D7	1	0	0	linear candidates only
0x33E1	0x33E5	5	0	2	linear candidates only
0x33F7	0x33F7	1	0	0	linear candidates only
0x359C	0x36BA	287	2	98	linear candidates only
0x36D1	0x3736	102	0	38	linear candidates only
0x3738	0x7FFF	18632	0	0	linear candidates only
